Title,genre,released,score,star,budget,Marketing Spend,Marketing Amount,gross,Profitability,Pre Production Spend,Pre-Production Amount,VFX Spend,VFX Amount,Post Production Spend,Post Production Amount,Music Spend,Music Amount,Distribution,Distribution Amount
Isle of Dogs,Animation,"April 13, 2018 (United States)",7.9,Bryan Cranston,75785197.13,20,15157039.43,64337744,-11447453.13,35,26524819,45,34103338.71,10,7578519.713,5,3789259.857,12.5,9473149.642
Fantastic Beasts: The Crimes of Grindelwald,Adventure,"November 16, 2018 (United States)",6.5,Eddie Redmayne,200000000,37.5,75000000,654855901,454855901,45,90000000,30,60000000,7.5,15000000,4,8000000,12.5,25000000
Hunter Killer,Action,"October 26, 2018 (United States)",6.6,Gerard Butler,40000000,37.5,15000000,31676128,-8323872,45,18000000,30,12000000,7.5,3000000,4,1600000,12.5,5000000
The Mule,Crime,"December 14, 2018 (United States)",7,Clint Eastwood,50000000,20,10000000,174804407,124804407,55,27500000,15,7500000,7.5,3750000,6,3000000,12.5,6250000
The Clovehitch Killer,Crime,"November 16, 2018 (United States)",6.6,Dylan McDermott,22363565.63,20,4472713.126,167994,-22195571.63,55,12299961.1,15,3354534.844,7.5,1677267.422,6,1341813.938,12.5,2795445.704
Robin Hood,Action,"November 21, 2018 (United States)",5.3,Taron Egerton,100000000,37.5,37500000,86493046,-13506954,45,45000000,30,30000000,7.5,7500000,4,4000000,12.5,12500000
Beautiful Boy,Biography,"October 25, 2018 (Israel)",7.3,Steve Carell,25000000,17.5,4375000,16636604,-8363396,55,13750000,7.5,1875000,7.5,1875000,4,1000000,12.5,3125000
Capharnaüm,Drama,"September 20, 2018 (Lebanon)",8.4,Zain Al Rafeea,4000000,17.5,700000,64417003,60417003,65,2600000,7.5,300000,7.5,300000,4,160000,12.5,500000
Adrift,Action,"June 1, 2018 (United States)",6.6,Shailene Woodley,35000000,37.5,13125000,59945012,24945012,45,15750000,30,10500000,7.5,2625000,4,1400000,12.5,4375000
"Love, Simon",Comedy,"March 16, 2018 (United States)",7.6,Nick Robinson,17000000,25,4250000,66316289,49316289,55,9350000,7.5,1275000,7.5,1275000,4,680000,12.5,2125000
Mary Poppins Returns,Comedy,"December 19, 2018 (United States)",6.7,Emily Blunt,130000000,25,32500000,349546142,219546142,55,71500000,7.5,9750000,7.5,9750000,4,5200000,12.5,16250000
Leave No Trace,Adventure,"June 29, 2018 (United Kingdom)",7.2,Thomasin McKenzie,45708389.06,37.5,17140645.9,7682928,-38025461.06,45,20568775.08,30,13712516.72,7.5,3428129.179,4,1828335.562,12.5,5713548.632
Bumblebee,Action,"December 21, 2018 (United States)",6.7,Hailee Steinfeld,135000000,37.5,50625000,467989645,332989645,45,60750000,30,40500000,7.5,10125000,4,5400000,12.5,16875000
Vice,Biography,"December 25, 2018 (United States)",7.2,Christian Bale,60000000,17.5,10500000,76073488,16073488,55,33000000,7.5,4500000,7.5,4500000,4,2400000,12.5,7500000
Hotel Transylvania 3: Summer Vacation,Animation,"July 13, 2018 (United States)",6.3,Adam Sandler,80000000,20,16000000,528583774,448583774,35,28000000,45,36000000,10,8000000,5,4000000,12.5,10000000
Mile 22,Action,"August 17, 2018 (United States)",6.1,Mark Wahlberg,50000000,37.5,18750000,66308758,16308758,45,22500000,30,15000000,7.5,3750000,4,2000000,12.5,6250000
Peter Rabbit,Animation,"February 9, 2018 (United States)",6.6,James Corden,50000000,20,10000000,351496066,301496066,35,17500000,45,22500000,10,5000000,5,2500000,12.5,6250000
12 Strong,Action,"January 19, 2018 (United States)",6.6,Chris Hemsworth,35000000,37.5,13125000,67450815,32450815,45,15750000,30,10500000,7.5,2625000,4,1400000,12.5,4375000
The Spy Who Dumped Me,Action,"August 3, 2018 (United States)",6.1,Justin Theroux,40000000,37.5,15000000,75339459,35339459,45,18000000,30,12000000,7.5,3000000,4,1600000,12.5,5000000
Upgrade,Action,"June 1, 2018 (United States)",7.5,Logan Marshall-Green,5000000,37.5,1875000,16706680,11706680,45,2250000,30,1500000,7.5,375000,4,200000,12.5,625000
Mary Queen of Scots,Biography,"December 21, 2018 (United States)",6.3,Saoirse Ronan,25000000,17.5,4375000,46712809,21712809,55,13750000,7.5,1875000,7.5,1875000,4,1000000,12.5,3125000
Ralph Breaks the Internet,Animation,"November 21, 2018 (United States)",7,John C. Reilly,175000000,20,35000000,529323962,354323962,35,61250000,45,78750000,10,17500000,5,8750000,12.5,21875000
Overlord,Action,"November 9, 2018 (United States)",6.6,Jovan Adepo,38000000,37.5,14250000,41657844,3657844,45,17100000,30,11400000,7.5,2850000,4,1520000,12.5,4750000
Tomb Raider,Action,"March 16, 2018 (United States)",6.3,Alicia Vikander,94000000,37.5,35250000,274650803,180650803,45,42300000,30,28200000,7.5,7050000,4,3760000,12.5,11750000
The Girl in the Spider's Web,Action,"November 9, 2018 (United States)",6.1,Claire Foy,43000000,37.5,16125000,35164920,-7835080,45,19350000,30,12900000,7.5,3225000,4,1720000,12.5,5375000
Mortal Engines,Action,"December 14, 2018 (United States)",6.1,Hera Hilmar,100000000,37.5,37500000,83869818,-16130182,45,45000000,30,30000000,7.5,7500000,4,4000000,12.5,12500000
Maze Runner: The Death Cure,Action,"January 26, 2018 (United States)",6.3,Dylan O'Brien,62000000,37.5,23250000,288175335,226175335,45,27900000,30,18600000,7.5,4650000,4,2480000,12.5,7750000
First Man,Biography,"October 12, 2018 (United States)",7.3,Ryan Gosling,59000000,17.5,10325000,105713218,46713218,55,32450000,7.5,4425000,7.5,4425000,4,2360000,12.5,7375000
Creed II,Drama,"November 21, 2018 (United States)",7.1,Michael B. Jordan,50000000,17.5,8750000,214215889,164215889,65,32500000,7.5,3750000,7.5,3750000,4,2000000,12.5,6250000
Rampage,Action,"April 13, 2018 (United States)",6.1,Dwayne Johnson,120000000,37.5,45000000,428028233,308028233,45,54000000,30,36000000,7.5,9000000,4,4800000,12.5,15000000
Everybody Knows,Crime,"February 8, 2019 (United States)",6.9,Penélope Cruz,22363565.63,20,4472713.126,19176163,-3187402.63,55,12299961.1,15,3354534.844,7.5,1677267.422,6,1341813.938,12.5,2795445.704
Mid90s,Comedy,"October 26, 2018 (United States)",7.4,Sunny Suljic,10000000,25,2500000,9303022,-696978,55,5500000,7.5,750000,7.5,750000,4,400000,12.5,1250000
Replicas,Drama,"January 11, 2019 (United States)",5.5,Keanu Reeves,30000000,17.5,5250000,9330075,-20669925,65,19500000,7.5,2250000,7.5,2250000,4,1200000,12.5,3750000
Widows,Crime,"November 16, 2018 (United States)",6.9,Viola Davis,42000000,20,8400000,75984700,33984700,55,23100000,15,6300000,7.5,3150000,6,2520000,12.5,5250000
Burning,Drama,"May 17, 2018 (South Korea)",7.5,Yoo Ah-in,22914608.79,17.5,4010056.539,7578063,-15336545.79,65,14894495.71,7.5,1718595.659,7.5,1718595.659,4,916584.3517,12.5,2864326.099
Searching,Drama,"August 31, 2018 (United States)",7.6,John Cho,880000,17.5,154000,75462037,74582037,65,572000,7.5,66000,7.5,66000,4,35200,12.5,110000
Life Itself,Drama,"September 21, 2018 (United States)",6.9,Oscar Isaac,10000000,17.5,1750000,7997774,-2002226,65,6500000,7.5,750000,7.5,750000,4,400000,12.5,1250000
Blockers,Comedy,"April 6, 2018 (United States)",6.2,Leslie Mann,21000000,25,5250000,94019120,73019120,55,11550000,7.5,1575000,7.5,1575000,4,840000,12.5,2625000
The Strangers: Prey at Night,Horror,"March 9, 2018 (United States)",5.2,Christina Hendricks,5000000,25,1250000,31039126,26039126,45,2250000,15,750000,7.5,375000,6,300000,12.5,625000
Peppermint,Action,"September 7, 2018 (United States)",6.5,Jennifer Garner,25000000,37.5,9375000,53918723,28918723,45,11250000,30,7500000,7.5,1875000,4,1000000,12.5,3125000
High Life,Adventure,"April 12, 2019 (United States)",5.8,Robert Pattinson,45708389.06,37.5,17140645.9,2133033,-43575356.06,45,20568775.08,30,13712516.72,7.5,3428129.179,4,1828335.562,12.5,5713548.632
Every Day,Drama,"February 23, 2018 (United States)",6.5,Angourie Rice,4900000,17.5,857500,10421847,5521847,65,3185000,7.5,367500,7.5,367500,4,196000,12.5,612500
Operation Finale,Biography,"August 29, 2018 (United States)",6.6,Oscar Isaac,24000000,17.5,4200000,17612099,-6387901,55,13200000,7.5,1800000,7.5,1800000,4,960000,12.5,3000000
Shoplifters,Crime,"November 23, 2018 (United States)",7.9,Lily Franky,22363565.63,20,4472713.126,67999335,45635769.37,55,12299961.1,15,3354534.844,7.5,1677267.422,6,1341813.938,12.5,2795445.704
Blindspotting,Comedy,"July 27, 2018 (United States)",7.4,Daveed Diggs,22607802.13,25,5651950.532,5006989,-17600813.13,55,12434291.17,7.5,1695585.16,7.5,1695585.16,4,904312.0852,12.5,2825975.266
The Sisters Brothers,Crime,"October 19, 2018 (United States)",7,John C. Reilly,38000000,20,7600000,13143056,-24856944,55,20900000,15,5700000,7.5,2850000,6,2280000,12.5,4750000
The Nightingale,Adventure,"August 29, 2019 (Australia)",7.3,Aisling Franciosi,45708389.06,37.5,17140645.9,988687,-44719702.06,45,20568775.08,30,13712516.72,7.5,3428129.179,4,1828335.562,12.5,5713548.632
Greta,Drama,"March 1, 2019 (United States)",6,Isabelle Huppert,22914608.79,17.5,4010056.539,18653107,-4261501.792,65,14894495.71,7.5,1718595.659,7.5,1718595.659,4,916584.3517,12.5,2864326.099
I Feel Pretty,Comedy,"April 20, 2018 (United States)",5.5,Amy Schumer,32000000,25,8000000,94539426,62539426,55,17600000,7.5,2400000,7.5,2400000,4,1280000,12.5,4000000
Hotel Artemis,Action,"June 8, 2018 (United States)",6.1,Jodie Foster,15000000,37.5,5625000,13313581,-1686419,45,6750000,30,4500000,7.5,1125000,4,600000,12.5,1875000
Slender Man,Horror,"August 10, 2018 (United States)",3.2,Joey King,10000000,25,2500000,51738549,41738549,45,4500000,15,1500000,7.5,750000,6,600000,12.5,1250000
Trial by Fire,Biography,"May 17, 2019 (United States)",7,Jack O'Connell,25312316.72,17.5,4429655.427,148504,-25163812.72,55,13921774.2,7.5,1898423.754,7.5,1898423.754,4,1012492.669,12.5,3164039.59
American Woman,Drama,"June 14, 2019 (United States)",6.8,Sienna Miller,22914608.79,17.5,4010056.539,245416,-22669192.79,65,14894495.71,7.5,1718595.659,7.5,1718595.659,4,916584.3517,12.5,2864326.099
Book Club,Comedy,"May 18, 2018 (United States)",6.1,Diane Keaton,10000000,25,2500000,104438188,94438188,55,5500000,7.5,750000,7.5,750000,4,400000,12.5,1250000
Slaughterhouse Rulez,Action,"May 17, 2019 (United States)",5.3,Jassa Ahluwalia,58084599.21,37.5,21781724.7,730762,-57353837.21,45,26138069.64,30,17425379.76,7.5,4356344.941,4,2323383.968,12.5,7260574.901
Sorry to Bother You,Comedy,"July 13, 2018 (United States)",6.9,LaKeith Stanfield,3200000,25,800000,18170707,14970707,55,1760000,7.5,240000,7.5,240000,4,128000,12.5,400000
Pacific Rim: Uprising,Action,"March 23, 2018 (United States)",5.6,John Boyega,150000000,37.5,56250000,290930148,140930148,45,67500000,30,45000000,7.5,11250000,4,6000000,12.5,18750000
Holmes & Watson,Comedy,"December 25, 2018 (United States)",3.8,Will Ferrell,42000000,25,10500000,40466970,-1533030,55,23100000,7.5,3150000,7.5,3150000,4,1680000,12.5,5250000
The Darkest Minds,Action,"August 3, 2018 (United States)",5.7,Amandla Stenberg,34000000,37.5,12750000,41142379,7142379,45,15300000,30,10200000,7.5,2550000,4,1360000,12.5,4250000
Cold War,Drama,"June 8, 2018 (Poland)",7.6,Joanna Kulig,22914608.79,17.5,4010056.539,20343051,-2571557.792,65,14894495.71,7.5,1718595.659,7.5,1718595.659,4,916584.3517,12.5,2864326.099
Truth or Dare,Horror,"April 13, 2018 (United States)",5.2,Lucy Hale,3500000,25,875000,95330710,91830710,45,1575000,15,525000,7.5,262500,6,210000,12.5,437500
Alpha,Action,"August 17, 2018 (United States)",6.7,Kodi Smit-McPhee,51000000,37.5,19125000,98203196,47203196,45,22950000,30,15300000,7.5,3825000,4,2040000,12.5,6375000
At Eternity's Gate,Biography,"February 15, 2019 (France)",6.9,Willem Dafoe,25312316.72,17.5,4429655.427,11473638,-13838678.72,55,13921774.2,7.5,1898423.754,7.5,1898423.754,4,1012492.669,12.5,3164039.59
Overboard,Comedy,"May 4, 2018 (United States)",6,Eugenio Derbez,12000000,25,3000000,91244913,79244913,55,6600000,7.5,900000,7.5,900000,4,480000,12.5,1500000
Summer of 84,Drama,"August 10, 2018 (United States)",6.7,Graham Verchere,22914608.79,17.5,4010056.539,42027,-22872581.79,65,14894495.71,7.5,1718595.659,7.5,1718595.659,4,916584.3517,12.5,2864326.099
Arctic,Adventure,"January 31, 2019 (Denmark)",6.8,Mads Mikkelsen,2000000,37.5,750000,4165776,2165776,45,900000,30,600000,7.5,150000,4,80000,12.5,250000
A Wrinkle in Time,Adventure,"March 9, 2018 (United States)",4.2,Storm Reid,100000000,37.5,37500000,132675864,32675864,45,45000000,30,30000000,7.5,7500000,4,4000000,12.5,12500000
London Fields,Crime,"October 26, 2018 (United States)",4,Amber Heard,8000000,20,1600000,487420,-7512580,55,4400000,15,1200000,7.5,600000,6,480000,12.5,1000000
Andhadhun,Crime,"October 5, 2018 (United States)",8.2,Ayushmann Khurrana,4500000,20,900000,62475342,57975342,55,2475000,15,675000,7.5,337500,6,270000,12.5,562500
Hotel Mumbai,Action,"March 29, 2019 (United States)",7.6,Dev Patel,58084599.21,37.5,21781724.7,21315827,-36768772.21,45,26138069.64,30,17425379.76,7.5,4356344.941,4,2323383.968,12.5,7260574.901
Life of the Party,Comedy,"May 11, 2018 (United States)",5.6,Melissa McCarthy,30000000,25,7500000,65859911,35859911,55,16500000,7.5,2250000,7.5,2250000,4,1200000,12.5,3750000
American Animals,Biography,"August 14, 2018 (United States)",7,Spencer Reinhard,25312316.72,17.5,4429655.427,4080073,-21232243.72,55,13921774.2,7.5,1898423.754,7.5,1898423.754,4,1012492.669,12.5,3164039.59
The House with a Clock in Its Walls,Comedy,"September 21, 2018 (United States)",6.1,Jack Black,42000000,25,10500000,131523093,89523093,55,23100000,7.5,3150000,7.5,3150000,4,1680000,12.5,5250000
Brian Banks,Biography,"August 9, 2019 (United States)",7.2,Aldis Hodge,10000000,17.5,1750000,4376819,-5623181,55,5500000,7.5,750000,7.5,750000,4,400000,12.5,1250000
Gotti,Biography,"June 14, 2018 (Hungary)",4.7,John Travolta,10000000,17.5,1750000,6412349,-3587651,55,5500000,7.5,750000,7.5,750000,4,400000,12.5,1250000
Christopher Robin,Adventure,"August 3, 2018 (United States)",7.3,Ewan McGregor,75000000,37.5,28125000,197744377,122744377,45,33750000,30,22500000,7.5,5625000,4,3000000,12.5,9375000
Destroyer,Action,"December 27, 2018 (Israel)",6.2,Nicole Kidman,9000000,37.5,3375000,5580940,-3419060,45,4050000,30,2700000,7.5,675000,4,360000,12.5,1125000
We Have Always Lived in the Castle,Drama,"May 17, 2019 (United States)",5.6,Taissa Farmiga,22914608.79,17.5,4010056.539,62567,-22852041.79,65,14894495.71,7.5,1718595.659,7.5,1718595.659,4,916584.3517,12.5,2864326.099
The Miseducation of Cameron Post,Drama,"September 7, 2018 (United Kingdom)",6.6,Chloë Grace Moretz,22914608.79,17.5,4010056.539,1474577,-21440031.79,65,14894495.71,7.5,1718595.659,7.5,1718595.659,4,916584.3517,12.5,2864326.099
Insidious: The Last Key,Horror,"January 5, 2018 (United States)",5.7,Lin Shaye,10000000,25,2500000,167885588,157885588,45,4500000,15,1500000,7.5,750000,6,600000,12.5,1250000
Mary Magdalene,Biography,"March 16, 2018 (United Kingdom)",5.9,Rooney Mara,25312316.72,17.5,4429655.427,11710110,-13602206.72,55,13921774.2,7.5,1898423.754,7.5,1898423.754,4,1012492.669,12.5,3164039.59
"Don't Worry, He Won't Get Far on Foot",Biography,"April 4, 2018 (France)",6.9,Joaquin Phoenix,25312316.72,17.5,4429655.427,4241656,-21070660.72,55,13921774.2,7.5,1898423.754,7.5,1898423.754,4,1012492.669,12.5,3164039.59
Can You Ever Forgive Me?,Biography,"November 2, 2018 (South Africa)",7.1,Melissa McCarthy,10000000,17.5,1750000,12442161,2442161,55,5500000,7.5,750000,7.5,750000,4,400000,12.5,1250000
Unsane,Drama,"March 23, 2018 (United States)",6.4,Claire Foy,1500000,17.5,262500,14293601,12793601,65,975000,7.5,112500,7.5,112500,4,60000,12.5,187500
Boy Erased,Biography,"November 8, 2018 (Australia)",6.9,Lucas Hedges,11000000,17.5,1925000,11853081,853081,55,6050000,7.5,825000,7.5,825000,4,440000,12.5,1375000
Johnny English Strikes Again,Action,"October 26, 2018 (United States)",6.2,Rowan Atkinson,25000000,37.5,9375000,158972499,133972499,45,11250000,30,7500000,7.5,1875000,4,1000000,12.5,3125000
Skyscraper,Action,"July 13, 2018 (United States)",5.8,Dwayne Johnson,125000000,37.5,46875000,304868961,179868961,45,56250000,30,37500000,7.5,9375000,4,5000000,12.5,15625000
Wildlife,Drama,"January 1, 2019 (United States)",6.8,Ed Oxenbould,22914608.79,17.5,4010056.539,3321367,-19593241.79,65,14894495.71,7.5,1718595.659,7.5,1718595.659,4,916584.3517,12.5,2864326.099
The Old Man & the Gun,Biography,"October 19, 2018 (United States)",6.7,Robert Redford,25312316.72,17.5,4429655.427,17860397,-7451919.724,55,13921774.2,7.5,1898423.754,7.5,1898423.754,4,1012492.669,12.5,3164039.59
Forever My Girl,Comedy,"January 19, 2018 (United States)",6.7,Alex Roe,3500000,25,875000,16376066,12876066,55,1925000,7.5,262500,7.5,262500,4,140000,12.5,437500
On the Basis of Sex,Biography,"January 11, 2019 (United States)",7.1,Felicity Jones,20000000,17.5,3500000,38755900,18755900,55,11000000,7.5,1500000,7.5,1500000,4,800000,12.5,2500000
I Want to Eat Your Pancreas,Animation,"September 1, 2018 (Japan)",8,Mahiro Takasugi,75785197.13,20,15157039.43,33748006,-42037191.13,35,26524819,45,34103338.71,10,7578519.713,5,3789259.857,12.5,9473149.642
The Man Who Killed Don Quixote,Adventure,"May 19, 2018 (France)",6.4,José Luis Ferrer,45708389.06,37.5,17140645.9,2390383,-43318006.06,45,20568775.08,30,13712516.72,7.5,3428129.179,4,1828335.562,12.5,5713548.632
The Catcher Was a Spy,Biography,"June 22, 2018 (United States)",6.2,Paul Rudd,14000000,17.5,2450000,953953,-13046047,55,7700000,7.5,1050000,7.5,1050000,4,560000,12.5,1750000
Welcome to Marwen,Biography,"December 21, 2018 (United States)",6.2,Steve Carell,39000000,17.5,6825000,13061491,-25938509,55,21450000,7.5,2925000,7.5,2925000,4,1560000,12.5,4875000
Bad Samaritan,Crime,"May 4, 2018 (United States)",6.5,David Tennant,22363565.63,20,4472713.126,4623836,-17739729.63,55,12299961.1,15,3354534.844,7.5,1677267.422,6,1341813.938,12.5,2795445.704
Border,Crime,"October 26, 2018 (United States)",7,Eva Melander,22363565.63,20,4472713.126,2177678,-20185887.63,55,12299961.1,15,3354534.844,7.5,1677267.422,6,1341813.938,12.5,2795445.704
Gringo,Action,"March 9, 2018 (United States)",6.1,Joel Edgerton,58084599.21,37.5,21781724.7,11001627,-47082972.21,45,26138069.64,30,17425379.76,7.5,4356344.941,4,2323383.968,12.5,7260574.901
Assassination Nation,Action,"September 21, 2018 (United States)",6,Odessa Young,7000000,37.5,2625000,2584988,-4415012,45,3150000,30,2100000,7.5,525000,4,280000,12.5,875000
Unfriended: Dark Web,Horror,"July 20, 2018 (United States)",6,Colin Woodell,1000000,25,250000,16024987,15024987,45,450000,15,150000,7.5,75000,6,60000,12.5,125000
The Nutcracker and the Four Realms,Adventure,"November 2, 2018 (United States)",5.6,Mackenzie Foy,120000000,37.5,45000000,173961069,53961069,45,54000000,30,36000000,7.5,9000000,4,4800000,12.5,15000000
Little Italy,Comedy,"September 21, 2018 (United States)",5.7,Emma Roberts,22607802.13,25,5651950.532,1362536,-21245266.13,55,12434291.17,7.5,1695585.16,7.5,1695585.16,4,904312.0852,12.5,2825975.266
The Happytime Murders,Action,"August 24, 2018 (United States)",5.4,Melissa McCarthy,40000000,37.5,15000000,27506452,-12493548,45,18000000,30,12000000,7.5,3000000,4,1600000,12.5,5000000
Tully,Comedy,"May 4, 2018 (United States)",7,Charlize Theron,13000000,25,3250000,15636462,2636462,55,7150000,7.5,975000,7.5,975000,4,520000,12.5,1625000
Night School,Comedy,"September 28, 2018 (United States)",5.6,Kevin Hart,29000000,25,7250000,103105878,74105878,55,15950000,7.5,2175000,7.5,2175000,4,1160000,12.5,3625000
Lords of Chaos,Biography,"February 8, 2019 (United States)",6.6,Rory Culkin,25312316.72,17.5,4429655.427,365353,-24946963.72,55,13921774.2,7.5,1898423.754,7.5,1898423.754,4,1012492.669,12.5,3164039.59
Smallfoot,Animation,"September 28, 2018 (United States)",6.6,Channing Tatum,80000000,20,16000000,214040103,134040103,35,28000000,45,36000000,10,8000000,5,4000000,12.5,10000000
Hell Fest,Horror,"September 28, 2018 (United States)",5.5,Cynthea Mercado,5500000,25,1375000,18160930,12660930,45,2475000,15,825000,7.5,412500,6,330000,12.5,687500
A Private War,Biography,"November 16, 2018 (United States)",6.7,Rosamund Pike,25312316.72,17.5,4429655.427,3915207,-21397109.72,55,13921774.2,7.5,1898423.754,7.5,1898423.754,4,1012492.669,12.5,3164039.59
Second Act,Comedy,"December 21, 2018 (United States)",5.8,Jennifer Lopez,16000000,25,4000000,72294066,56294066,55,8800000,7.5,1200000,7.5,1200000,4,640000,12.5,2000000
Uncle Drew,Comedy,"June 29, 2018 (United States)",5.8,Kyrie Irving,19000000,25,4750000,46664414,27664414,55,10450000,7.5,1425000,7.5,1425000,4,760000,12.5,2375000
Wild Rose,Comedy,"June 21, 2019 (United States)",7.2,Jessie Buckley,22607802.13,25,5651950.532,7123449,-15484353.13,55,12434291.17,7.5,1695585.16,7.5,1695585.16,4,904312.0852,12.5,2825975.266
The Possession of Hannah Grace,Horror,"November 30, 2018 (United States)",5.2,Shay Mitchell,7700000,25,1925000,43016528,35316528,45,3465000,15,1155000,7.5,577500,6,462000,12.5,962500
If Beale Street Could Talk,Drama,"December 25, 2018 (United States)",7.1,KiKi Layne,12000000,17.5,2100000,20596567,8596567,65,7800000,7.5,900000,7.5,900000,4,480000,12.5,1500000
Out of Blue,Crime,"March 22, 2019 (United States)",4.8,Mamie Gummer,22363565.63,20,4472713.126,242847,-22120718.63,55,12299961.1,15,3354534.844,7.5,1677267.422,6,1341813.938,12.5,2795445.704
The Grinch,Animation,"November 9, 2018 (United States)",6.3,Benedict Cumberbatch,75000000,20,15000000,512492755,437492755,35,26250000,45,33750000,10,7500000,5,3750000,12.5,9375000
Colette,Biography,"December 20, 2018 (Netherlands)",6.7,Keira Knightley,25312316.72,17.5,4429655.427,14273033,-11039283.72,55,13921774.2,7.5,1898423.754,7.5,1898423.754,4,1012492.669,12.5,3164039.59
Winchester,Biography,"February 2, 2018 (United States)",5.5,Helen Mirren,3500000,17.5,612500,44019588,40519588,55,1925000,7.5,262500,7.5,262500,4,140000,12.5,437500
The 15:17 to Paris,Biography,"February 9, 2018 (United States)",5.3,Alek Skarlatos,30000000,17.5,5250000,57076286,27076286,55,16500000,7.5,2250000,7.5,2250000,4,1200000,12.5,3750000
Action Point,Comedy,"June 1, 2018 (United States)",5.1,Johnny Knoxville,19000000,25,4750000,5103663,-13896337,55,10450000,7.5,1425000,7.5,1425000,4,760000,12.5,2375000
"Juliet, Naked",Comedy,"August 17, 2018 (United States)",6.6,Chris O'Dowd,22607802.13,25,5651950.532,4511157,-18096645.13,55,12434291.17,7.5,1695585.16,7.5,1695585.16,4,904312.0852,12.5,2825975.266
The Guilty,Crime,"October 19, 2018 (United States)",7.5,Jakob Cedergren,22363565.63,20,4472713.126,4598051,-17765514.63,55,12299961.1,15,3354534.844,7.5,1677267.422,6,1341813.938,12.5,2795445.704
Never Look Away,Biography,"October 3, 2018 (Germany)",7.7,Tom Schilling,25312316.72,17.5,4429655.427,6193234,-19119082.72,55,13921774.2,7.5,1898423.754,7.5,1898423.754,4,1012492.669,12.5,3164039.59
Vox Lux,Drama,"December 20, 2018 (Kuwait)",5.8,Natalie Portman,22914608.79,17.5,4010056.539,1399272,-21515336.79,65,14894495.71,7.5,1718595.659,7.5,1718595.659,4,916584.3517,12.5,2864326.099
The Wind,Horror,"April 5, 2019 (United States)",5.6,Caitlin Gerard,12825159.09,25,3206289.773,130974,-12694185.09,45,5771321.591,15,1923773.864,7.5,961886.9318,6,769509.5455,12.5,1603144.886
Super Troopers 2,Comedy,"April 20, 2018 (United States)",6.1,Jay Chandrasekhar,13500000,25,3375000,31626386,18126386,55,7425000,7.5,1012500,7.5,1012500,4,540000,12.5,1687500
Summer '03,Comedy,"December 20, 2018 (Russia)",5.5,Joey King,22607802.13,25,5651950.532,11746,-22596056.13,55,12434291.17,7.5,1695585.16,7.5,1695585.16,4,904312.0852,12.5,2825975.266
An Acceptable Loss,Drama,"January 18, 2019 (United States)",5.4,Tika Sumpter,22914608.79,17.5,4010056.539,32427,-22882181.79,65,14894495.71,7.5,1718595.659,7.5,1718595.659,4,916584.3517,12.5,2864326.099
The Death & Life of John F. Donovan,Drama,"December 13, 2019 (United States)",6.2,Kit Harington,35000000,17.5,6125000,3326364,-31673636,65,22750000,7.5,2625000,7.5,2625000,4,1400000,12.5,4375000
Duck Butter,Comedy,"April 27, 2018 (United States)",5.3,Alia Shawkat,22607802.13,25,5651950.532,6877,-22600925.13,55,12434291.17,7.5,1695585.16,7.5,1695585.16,4,904312.0852,12.5,2825975.266
The Little Mermaid,Adventure,"August 17, 2018 (United States)",4.3,William Moseley,45708389.06,37.5,17140645.9,2614006,-43094383.06,45,20568775.08,30,13712516.72,7.5,3428129.179,4,1828335.562,12.5,5713548.632
Padmaavat,Drama,"January 25, 2018 (India)",7,Deepika Padukone,22914608.79,17.5,4010056.539,60508780,37594171.21,65,14894495.71,7.5,1718595.659,7.5,1718595.659,4,916584.3517,12.5,2864326.099
Stan & Ollie,Biography,"January 11, 2019 (United Kingdom)",7.2,Steve Coogan,10000000,17.5,1750000,24420923,14420923,55,5500000,7.5,750000,7.5,750000,4,400000,12.5,1250000
SuperFly,Action,"June 13, 2018 (United States)",5.2,Trevor Jackson,16000000,37.5,6000000,20780685,4780685,45,7200000,30,4800000,7.5,1200000,4,640000,12.5,2000000
Early Man,Animation,"February 16, 2018 (United States)",6.1,Eddie Redmayne,50000000,20,10000000,54622814,4622814,35,17500000,45,22500000,10,5000000,5,2500000,12.5,6250000
I Can Only Imagine,Biography,"March 16, 2018 (United States)",7.3,J. Michael Finley,7000000,17.5,1225000,86086881,79086881,55,3850000,7.5,525000,7.5,525000,4,280000,12.5,875000
The Hummingbird Project,Drama,"March 22, 2019 (Canada)",6.2,Jesse Eisenberg,22914608.79,17.5,4010056.539,878199,-22036409.79,65,14894495.71,7.5,1718595.659,7.5,1718595.659,4,916584.3517,12.5,2864326.099
Dragon Ball Super: Broly,Animation,"January 16, 2019 (United States)",7.8,Masako Nozawa,8500000,20,1700000,115757940,107257940,35,2975000,45,3825000,10,850000,5,425000,12.5,1062500
Gloria Bell,Comedy,"March 22, 2019 (United States)",6.3,Julianne Moore,22607802.13,25,5651950.532,11145006,-11462796.13,55,12434291.17,7.5,1695585.16,7.5,1695585.16,4,904312.0852,12.5,2825975.266
Kin,Action,"August 31, 2018 (United States)",5.8,Myles Truitt,30000000,37.5,11250000,10313019,-19686981,45,13500000,30,9000000,7.5,2250000,4,1200000,12.5,3750000
Aniara,Drama,"May 17, 2019 (United States)",6.3,Emelie Garbers,22914608.79,17.5,4010056.539,40124,-22874484.79,65,14894495.71,7.5,1718595.659,7.5,1718595.659,4,916584.3517,12.5,2864326.099
